# STATION: KSBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# STATION NAME: Santa Barbara, Santa Barbara Municipal Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LATITUDE: 34.42611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LONGITUDE: -119.84361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ELEVATION [ft]: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# STATE: CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,m/s,Pascals,code,code,code,Millimeters,Millimeters,code,code,Millimeters,Millimeters,Statute miles,text,text,Celsius,Celsius,m/s,Meters,code,Celsius,Celsius,Degrees,Celsius,Celsius,Code,Pascals,Pascals
KSBA,03/30/2019 23:00 UTC,101659.34,22,,26.74,5.14,250,,,,,,,,1,,,,10,,METAR KSBA 302300Z AUTO 25010KT 10SM CLR 22/02 A3002,,,,,,,,,1.97,,WSW,101623.42,101659.28
KSBA,03/30/2019 23:05 UTC,101659.34,22,,26.74,4.12,260,,,,,,,,1,,,,10,,METAR KSBA 302305Z AUTO 26008KT 10SM CLR 22/02 A3002,,,,,,,,,1.97,,W,101623.42,101659.28
KSBA,03/30/2019 23:10 UTC,101659.34,22,,28.72,4.63,260,,,,,,,,1,,,,10,,METAR KSBA 302310Z AUTO 26009KT 10SM CLR 22/03 A3002,,,,,,,,,2.97,,W,101623.42,101659.28
KSBA,03/30/2019 23:15 UTC,101625.47,22,,26.74,4.63,260,,,,,,,,1,,,,10,,METAR KSBA 302315Z AUTO 26009KT 10SM CLR 22/02 A3001,,,,,,,,,1.97,,W,101589.56,101625.4
KSBA,03/30/2019 23:20 UTC,101625.47,22,,28.72,4.12,270,,,,,,,,1,,,,10,,METAR KSBA 302320Z AUTO 27008KT 10SM CLR 22/03 A3001,,,,,,,,,2.97,,W,101589.56,101625.4
KSBA,03/30/2019 23:25 UTC,101625.47,22,,28.72,5.14,260,,,,,,,,1,,,,10,,METAR KSBA 302325Z AUTO 26010KT 10SM CLR 22/03 A3001,,,,,,,,,2.97,,W,101589.56,101625.4
KSBA,03/30/2019 23:30 UTC,101625.47,22,,24.89,4.63,270,,,,,,,,1,,,,10,,METAR KSBA 302330Z AUTO 27009KT 10SM CLR 22/01 A3001,,,,,,,,,0.97,,W,101589.56,101625.4
KSBA,03/30/2019 23:35 UTC,101625.47,22,,26.74,4.12,250,,,,,,,,1,,,,10,,METAR KSBA 302335Z AUTO 25008KT 10SM CLR 22/02 A3001,,,,,,,,,1.97,,WSW,101589.56,101625.4
KSBA,03/30/2019 23:40 UTC,101625.47,22,,28.72,4.63,260,,,,,,,,1,,,,10,,METAR KSBA 302340Z AUTO 26009KT 10SM CLR 22/03 A3001,,,,,,,,,2.97,,W,101589.56,101625.4
