# STATION: MPWC1									
# STATION NAME: SAN MARCOS PASS									
# LATITUDE:  34.491333									
# LONGITUDE: -119.796386									
# ELEVATION [ft]: 1491									
# STATE: CA									
Station_ID	Date_	ime	air_temp_set_1	relative_humidity_set_1	wind_speed_set_1	wind_direction_set_1	wind_gust_set_1	dew_point_temperature_set_1d	wind_cardinal_direction_set_1d
			Celsius	%	m/s	Degrees	m/s	Celsius	Code
MPWC1	7/17/2015	18:06:00Z	21.11	66	1.34	211	2.68	14.48	SSW
MPWC1	7/17/2015	19:06:00Z	22.78	62	1.79	197	3.58	15.09	SSW
MPWC1	7/17/2015	20:06:00Z	23.89	58	1.79	208	4.02	15.1	SSW
MPWC1	7/17/2015	21:06:00Z	25.56	52	2.23	199	4.02	14.96	SSW
MPWC1	7/17/2015	22:06:00Z	25	52	2.23	200	4.47	14.44	SSW
MPWC1	7/17/2015	23:06:00Z	25	51	2.23	207	4.02	14.14	SSW
MPWC1	7/18/2015	00:06:00Z	25	53	1.79	217	4.02	14.74	SW
MPWC1	7/18/2015	01:06:00Z	23.89	54	1.34	221	3.58	13.99	SW
MPWC1	7/18/2015	02:06:00Z	22.22	57	0.45	225	2.23	13.26	SW
MPWC1	7/18/2015	03:06:00Z	17.78	72	0		1.79	12.63	
MPWC1	7/18/2015	04:06:00Z	14.44	87	0		1.34	12.28	
MPWC1	7/18/2015	05:06:00Z	15.56	81	0		0.9	12.28	
MPWC1	7/18/2015	06:06:00Z	15	84	0.9	92	2.23	12.29	E
MPWC1	7/18/2015	07:06:00Z	15	87	1.34	58	2.68	12.83	ENE
MPWC1	7/18/2015	08:06:00Z	15	86	0.45	284	1.79	12.66	WNW
MPWC1	7/18/2015	09:06:00Z	15.56	78	1.34	65	2.68	11.71	ENE
MPWC1	7/18/2015	10:06:00Z	16.11	72	0.9	89	2.68	11.02	E
MPWC1	7/18/2015	11:06:00Z	16.67	70	0.9	87	2.23	11.13	E
MPWC1	7/18/2015	12:06:00Z	17.22	69	1.79	66	3.13	11.44	ENE
MPWC1	7/18/2015	13:06:00Z	17.22	68	0.45	306	0.9	11.22	NW
MPWC1	7/18/2015	14:06:00Z	17.22	68	0.45	288	1.79	11.22	WNW
MPWC1	7/18/2015	15:06:00Z	19.44	63	0		1.34	12.17	
MPWC1	7/18/2015	16:06:00Z	21.11	59	0.9	206	1.79	12.75	SSW
MPWC1	7/18/2015	17:06:00Z	23.89	55	1.34	200	3.13	14.28	SSW
MPWC1	7/18/2015	18:06:00Z	23.89	54	1.34	207	3.13	13.99	SSW
MPWC1	7/18/2015	19:06:00Z	26.67	47	1.79	212	4.02	14.42	SSW
MPWC1	7/18/2015	20:06:00Z	27.22	44	1.34	210	4.02	13.91	SSW
MPWC1	7/18/2015	21:06:00Z	27.78	43	2.68	214	5.37	14.06	SW
MPWC1	7/18/2015	22:06:00Z	28.33	38	2.23	164	6.7	12.67	SSE
MPWC1	7/18/2015	23:06:00Z	26.11	39	5.37	127	10.28	11.06	SE
MPWC1	7/19/2015	00:06:00Z	21.11	58	3.58	133	8.49	12.49	SE
MPWC1	7/19/2015	01:06:00Z	20	68	0.45	288	5.81	13.88	WNW
MPWC1	7/19/2015	02:06:00Z	21.11	66	0.45	221	3.13	14.48	SW
MPWC1	7/19/2015	03:06:00Z	21.11	69	0.45	247	3.13	15.17	WSW
MPWC1	7/19/2015	04:06:00Z	21.67	74	0.45	86	3.58	16.81	E
MPWC1	7/19/2015	05:06:00Z	22.22	73	1.34	55	4.47	17.13	NE
MPWC1	7/19/2015	06:06:00Z	22.22	73	0.45	265	1.34	17.13	W
MPWC1	7/19/2015	07:06:00Z	21.67	74	0.45	99	3.58	16.81	E
MPWC1	7/19/2015	08:06:00Z	23.33	66	1.79	292	2.23	16.6	WNW
MPWC1	7/19/2015	09:06:00Z	22.78	68	1.34	278	3.13	16.54	W
MPWC1	7/19/2015	10:06:00Z	22.22	68	0.45	283	2.68	16.01	WNW
MPWC1	7/19/2015	11:06:00Z	23.33	62	0		3.58	15.62	
MPWC1	7/19/2015	12:06:00Z	23.33	61	0		2.23	15.36	
MPWC1	7/19/2015	13:06:00Z	22.78	61	3.13	44	4.02	14.84	NE
MPWC1	7/19/2015	14:06:00Z	24.44	56	1.34	33	4.02	15.07	NNE
MPWC1	7/19/2015	15:06:00Z	25.56	54	0		1.34	15.55	
MPWC1	7/19/2015	16:06:00Z	26.67	53	0.9	207	1.79	16.29	SSW
